Store Name,Street Address,City,State,Zip Code,products,lat,lng
Garrett's IGA Supermarket #1,1060 Yavapai DR,Rio Rico,AZ,85648,2||834||827,31.46432,-110.99736
Gordon's IGA Market #3,500 Avenue A,San Manuel,AZ,85631,2||834||827,32.60735,-110.62742
Gordon's IGA Market #7,549 345 Alden Road,Kearney,AZ,85137,2||834||827,33.05863,-110.90634
Olsen's IGA Market Place AJO,1961 Ajo-Gila Bend Hwy,Ajo,AZ,85321,2||834||827,32.39233,-112.87297
Olsen's IGA Market Place Welton,28865 Commerce Way,Welton,AZ,85356,2||834||827,33.43541,-112.59938
Ron's Market Everday IGA,34360 S. Old Black Canyon Highway,Black Canyon City,AZ,85324,2||834||827,34.06714,-112.15144
Ed's IGA Supermarket,160 Main Street,Snowflake,AZ,85937,2||834||827,34.51121,-110.07896
El Rancho Market IGA,1076 No. Arizona Ave.,Chandler,AZ,85225,2||834||827,33.32263,-111.84163
El Rancho Market IGA #2,8901 North 19th Ave.,Phoenix,AZ,85021,2||834||827,33.56626,-112.09945
Foodtown IGA,13 North Santa Cruz,Eloy,AZ,85131,2||834||827,32.74955,-111.54872
Shope's IGA Market,1940 South Arizona Boulevard,Coolidge,AZ,85228,2||834||827,32.97494,-111.52374
Weber's IGA Food & Drug,100 Verde Valley School Road,Sedona,AZ,86351,2||834||827,34.77823,-111.76513
Foodland IGA #2,303 Highland Avenue,National City,CA,91950,2||834||827,32.68268,-117.09948
Foodland IGA #3,5075 Federal Boulevard,San Diego,CA,92102,2||834||827,32.72073,-117.08569
Foodland IGA #4,1099 E Main Street,El Cajon,CA,92019,2||834||827,32.79492,-116.94463
Foodland IGA #5,3550 National Ave.,San Diego,CA,92113,2||834||827,32.69602,-117.11779
Foodland IGA #6,1326 Main Street,Ramona,CA,92065,2||834||827,33.07646,-116.59866
Foodland #7,1340 3rd Ave.,Chula Vista,CA,91911,2||834||827,32.60506,-117.06638
Hometown IGA #2,646 'E' Street,Chula Vista,CA,91910,2||834||827,32.63851,-117.06176
Eduardo's Supermercado IGA,3175 National Avenue,San Diego,CA,92113,2||834||827,32.69573,-117.12567
Good Foods Market,4975 South Alma School Rd.,Chandler,AZ,85248,2||834||827,33.23337,-111.85834
Del Sol # 4 IGA - Yuma,280 S. 4th Avenue,Yuma,AZ,85364,2||834||827,32.72222,-114.62457
Del Sol #6 IGA - Holtville,402 E  5th Street,Holtville,CA,92250,2||834||827,32.81049,-115.3761
Del Sol # 7 IGA - Somerton,415 West Main Street,Somerton,AZ,85350,2||834||827,32.5966,-114.71468
Del Sol #8 IGA - Wellton,29854 Los Angeles Ave.,Wellton,AZ,85355,2||834||827,32.67348,-114.14438
Del Sol #11 IGA - Yuma,367 West 16th Street,Yuma,AZ,85364,2||834||827,32.69851,-114.62426
Thriftee IGA Supermarket,755 S. Central Ave.,Safford,AZ,85546,2||834||827,32.83178,-109.71126
El Rancho Carniceria Mercado,303 S. Gilbert Rd #11,Mesa,AZ,85204,2||834||827,33.40966,-111.78818
El Rancho Carniceria Mercado,303 E Southern Ave #102,Mesa,AZ,85210,2||834||827,33.39246,-111.82488
El Rancho Carniceria Mercado,2601 E Bell Rd #3,Phoenix,AZ,85032,2||834||827,33.64009,-112.02591
El Rancho Carniceria Mercado,413 W Hatcher Rd,Phoenix,AZ,85021,2||834||827,33.57106,-112.08055
WinCo,110 E. Myrtle St.,Boise,ID,83702,831||833||2||825,43.60922,-116.19758
WinCo,1000 Pocatello Creek Rd.,Pocatello,ID,83201,831||833||2||825,42.89404,-112.44132
WinCo,8200 Fairview Ave.,Boise,ID,83704,831||833||2||825,43.62093,-116.28556
WinCo,2020 Caldwell Blvd.,Nampa,ID,83651,831||833||2||825,43.60799,-116.60324
WinCo,3032 E. State St.,Eagle,ID,83616,831||833||2||825,43.68597,-116.31509
WinCo,1569 Blue Lakes Blvd. N,Twin Falls,ID,83301,831||833||2||825,42.58984,-114.46311
WinCo,333 N. Woodruff Ave.,Idaho Falls,ID,83401,831||833||2||825,43.49884,-112.00191
WinCo,1050 S. Progress,Meridian,ID,83642,831||833||2||825,43.59621,-116.39029
WinCo,7020 S. 700 W.,Midvale City,UT,84047,831||833||2||825,40.624,-111.91116
WinCo,2572 S. 5600 W.,West Valley,UT,84120,831||833||2||825,40.71448,-112.02576
